1		tmn		heisman filled homers 		0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12		tmn		7-eleven		0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25		tmn		American Idol		0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39		tmn		Tito Ortiz		0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3		tmn		heisman vote filled homers 		1.0,0.0,0.0,1.0,0.04073207,0.032808833,0.032711864,0.27409145,0.27409145,0.27409145,0.20899993,0.27409145,0.0,0.0,0.07552738,0.17303583,0.17303583,0.17303583,0.04253179,0.08646413,0.0,0.08646413,0.08646413,0.08646413,0.07456999,0.0,0.0,0.0,0.05481431,0.0,0.0,0.0,0.0033260975,0.0,0.0033260975,0.105067514,0.105067514,0.07509641,0.019507086,0.0,0.10770856,0.03329325,0.105067514,0.07509641,0.105067514,0.06240184,0.06240184,0.06240184,0.06240184,0.06240184,0.081138685,0.13057636,0.05885159,0.14725314,0.10699912,0.017976884,0.014827838,0.22383383,0.14455263,0.095406584,0.00862352,0.05885159,0.09105692,0.09105692,0.09560789,0.05885159,0.08527046,0.08527046,0.0040683444,0.04015875,0.0,0.014544204,0.11942117,0.060969774,0.060969774,0.11942117,0.065629005,0.021767566,0.0,0.015164691,0.1105225,0.012140548,0.074057356,0.081138685,0.048701774,0.07263825,0.10699912,0.0,0.17451504,0.040985335,0.059867688,0.0,0.10892194,0.010590896,0.17451504,0.0,0.10221324,0.017881554,0.21379384,0.22904243
7		tmn		bill		0.27409145,0.0,0.0,0.27409145,0.0067145815,0.0,0.111857705,1.0,1.0,1.0,0.026253816,1.0,0.0,0.11210367,0.2370008,0.06328541,0.16664769,0.07567504,0.28976014,0.006211295,0.047109324,0.006211295,0.18893512,0.047109324,0.026663082,0.0,0.025528423,0.11210367,0.29798466,0.065546006,0.02765402,0.0,0.021253334,0.021253334,0.021253334,0.036740758,0.010927764,0.036740758,0.0,0.0,0.07581587,0.09035125,0.3954839,0.3954839,0.010927764,0.116324835,0.116324835,0.116324835,0.116324835,0.116324835,0.07920142,0.019425036,0.05609409,0.019425036,0.0,0.4751861,0.015301103,0.07920142,0.034071032,0.052157994,0.09117512,0.06672542,0.34173033,0.01995537,0.10962427,0.0900539,0.0900539,0.0900539,0.07572768,0.0900539,0.033418633,0.055087127,0.047622554,0.11026346,0.11026346,0.09549283,0.015301103,0.34173033,0.0,0.04692533,0.0,0.09549283,0.0,0.07920142,0.0,0.0,0.105380826,0.033418633,0.10119407,0.4751861,0.0900539,0.0,0.0900539,0.03093934,0.10119407,0.0,0.0,0.06538241,0.056903437,0.0
8		tmn		100 bill		0.27409145,0.0,0.0,0.27409145,0.120719425,0.11600027,0.16279459,1.0,1.0,1.0,1.0,1.0,0.0,0.11210367,0.2370008,0.06328541,0.16664769,0.07567504,0.28976014,0.1013632,0.049366713,0.1013632,0.18893512,0.049366713,0.07038873,0.0,0.13345374,0.11210367,0.29798466,0.11040258,0.11040258,0.07033255,0.14323604,0.10165327,0.14323604,0.15944034,0.010927764,0.15944034,0.1281053,0.0,0.10833197,0.09035125,0.3954839,0.3954839,0.010927764,0.1500053,0.1500053,0.1500053,0.1500053,0.1500053,0.07920142,0.042612836,0.05609409,0.08961825,0.25402614,0.4751861,0.015301103,0.08961825,0.055795006,0.052157994,0.09117512,0.06672542,0.34173033,0.19349435,0.10962427,0.0900539,0.0900539,0.0900539,0.07572768,0.0900539,0.033418633,0.055087127,0.26551533,0.18729238,0.18729238,0.26551533,0.015301103,0.34173033,0.057016272,0.04692533,0.15497284,0.09549283,0.10255866,0.07920142,0.25402614,0.06331811,0.19191355,0.033418633,0.10119407,0.4751861,0.0900539,0.0,0.0900539,0.03093934,0.10119407,0.00962257,0.063666865,0.08958504,0.17485958,0.15038997
9		tmn		100 dollar bill		0.27409145,0.0,0.0,0.27409145,0.120719425,0.11600027,0.18248974,1.0,1.0,1.0,1.0,1.0,0.0,0.11210367,0.2370008,0.21027851,0.21027851,0.21027851,0.28976014,0.1013632,0.06948111,0.1013632,0.18893512,0.06948111,0.07038873,0.0,0.15973046,0.11210367,0.29798466,0.11040258,0.11040258,0.07033255,0.14323604,0.10165327,0.14323604,0.15944034,0.069084525,0.15944034,0.1281053,0.0,0.19868632,0.09035125,0.3954839,0.3954839,0.069084525,0.1500053,0.1500053,0.1500053,0.1500053,0.1500053,0.126074,0.061279025,0.115172274,0.17748946,0.25402614,0.4751861,0.058303136,0.17748946,0.055795006,0.07271553,0.09117512,0.115172274,0.34173033,0.19349435,0.16815877,0.115172274,0.0900539,0.0900539,0.07572768,0.0900539,0.033418633,0.08491,0.26551533,0.28194138,0.28194138,0.26551533,0.13101944,0.34173033,0.057016272,0.04692533,0.15497284,0.098668404,0.10255866,0.126074,0.25402614,0.093044125,0.19191355,0.033418633,0.10119407,0.4751861,0.106907904,0.008488008,0.093044125,0.09432036,0.10119407,0.09681903,0.063666865,0.08958504,0.17485958,0.15038997
10		tmn		new 100		0.3895282,0.0,0.3895282,0.20899993,0.120719425,0.17893153,0.16279459,0.026253816,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.087567575,0.087567575,0.14839889,0.21987368,0.13202694,0.13202694,0.13202694,0.13202694,0.049366713,0.07038873,0.0,0.13345374,0.0,0.0,0.21347755,0.1546654,0.07033255,0.3895282,0.17712395,0.3895282,0.15944034,0.11766841,0.15944034,0.1281053,0.0,0.10833197,0.08454556,0.15944034,0.15944034,0.11766841,0.29368505,0.29368505,0.29368505,0.29368505,0.29368505,0.04225209,0.2825348,0.20261776,0.2825348,0.25402614,0.22733597,0.14445989,0.21841605,0.2609465,0.3558037,0.16411416,0.20261776,0.19349435,0.19349435,0.17346759,0.20261776,0.2825348,0.2825348,0.070074074,0.2825348,0.0,0.17542663,0.26551533,0.24063894,0.20514593,0.26551533,0.07471263,0.059713826,0.3466569,0.3895282,0.15497284,0.1811664,0.10255866,0.34063464,0.25402614,0.13616721,0.2825348,0.02574625,0.1811664,0.15017667,0.21841605,0.21841605,0.088658564,0.22733597,0.051217623,0.00962257,0.08640755,0.22181606,0.3895282,0.17542663
11		tmn		new dollar bill		0.3895282,0.0,0.3895282,0.27409145,0.0947076,0.17893153,0.18248974,1.0,1.0,1.0,1.0,1.0,0.0,0.11210367,0.2370008,0.21027851,0.21027851,0.21027851,0.28976014,0.13202694,0.13202694,0.13202694,0.18893512,0.06948111,0.061535608,0.0,0.15973046,0.11210367,0.29798466,0.21347755,0.1546654,0.0641326,0.3895282,0.17712395,0.3895282,0.11766841,0.11766841,0.11766841,0.08587291,0.0,0.19868632,0.09035125,0.3954839,0.3954839,0.11766841,0.29368505,0.29368505,0.29368505,0.29368505,0.29368505,0.126074,0.2825348,0.20261776,0.2825348,0.2174077,0.4751861,0.14445989,0.21841605,0.2609465,0.3558037,0.16411416,0.20261776,0.34173033,0.15952517,0.17346759,0.20261776,0.2825348,0.2825348,0.07572768,0.2825348,0.033418633,0.17542663,0.20750634,0.28194138,0.28194138,0.19935885,0.13101944,0.34173033,0.3466569,0.3895282,0.14391445,0.1811664,0.036951564,0.34063464,0.2174077,0.13616721,0.2825348,0.033418633,0.1811664,0.4751861,0.21841605,0.21841605,0.093044125,0.22733597,0.10119407,0.09681903,0.08640755,0.22181606,0.3895282,0.17542663
